12:11:41.372 [background-preinit] INFO   o.h.validator.internal.util.Version -HV000001: Hibernate Validator 8.0.1.Final
08:29:29.521 [main] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration Springboot.Api.ApiApplication for test class Springboot.Api.service.ProductServiceImplTest
08:29:30.080 [main] INFO   o.s.b.d.r.RestartApplicationListener -Restart disabled due to context in which it is running
08:29:30.892 [background-preinit] INFO   o.h.validator.internal.util.Version -HV000001: Hibernate Validator 8.0.1.Final
08:29:30.986 [main] INFO   S.Api.service.ProductServiceImplTest -Starting ProductServiceImplTest using Java 21.0.2 with PID 17564 (started by harithasri in C:\Users\harithasri\Downloads\Api\Api)
08:29:30.987 [main] DEBUG  S.Api.service.ProductServiceImplTest -Running with Spring Boot v3.2.1, Spring v6.1.2
08:29:30.989 [main] INFO   S.Api.service.ProductServiceImplTest -No active profile set, falling back to 1 default profile: "default"
08:29:34.220 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
08:29:34.348 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 115 ms. Found 1 MongoDB repository interface.
08:29:43.376 [main] INFO   org.mongodb.driver.client -MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.2+13-58"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@5daad59a, com.mongodb.Jep395RecordCodecProvider@5256fbc, com.mongodb.KotlinCodecProvider@58f50dd0]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
08:29:43.428 [cluster-ClusterId{value='66569a1e29b889306b60b9f5', description='null'}-localhost:27017] INFO   org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=121996699}
08:29:47.912 [main] INFO   o.s.s.web.DefaultSecurityFilterChain -Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4ca4f762, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7c5d36c3, org.springframework.security.web.context.SecurityContextHolderFilter@3df6494f, org.springframework.security.web.header.HeaderWriterFilter@1736273c, org.springframework.web.filter.CorsFilter@31de27c, org.springframework.security.web.authentication.logout.LogoutFilter@4dd752e8, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@15c4b1a4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@53ddabc6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@39ac8c0c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7ebfe01a, org.springframework.security.web.access.ExceptionTranslationFilter@6b278b17, org.springframework.security.web.access.intercept.AuthorizationFilter@174cb0d8]
08:29:49.315 [main] INFO   S.Api.service.ProductServiceImplTest -Started ProductServiceImplTest in 19.25 seconds (process running for 29.69)
